Original Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Original Global_Sales,Reason For Removal
12772,Dance Dance Revolution: Mario Mix (JP sales),GC,2005,Simulation,Nintendo,0,0,0.05,0,0.06,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. Genre verified as Misc."
10081,Digimon World DS,DS,2006,Role-Playing,Namco Bandai Games,0.1,0,0,0.01,0.11,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
7127,Digimon World DS (JP sales),DS,2006,Role-Playing,Namco Bandai Games,0,0,0.23,0,0.23,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
10552,Draglade,DS,2007,Fighting,505 Games,0.09,0,0,0.01,0.1,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
13828,Draglade (JP sales),DS,2007,Fighting,505 Games,0,0,0.04,0,0.04,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
7456,Dragon Ball Z: Harukanaru Densetsu,DS,2007,Role-Playing,Namco Bandai Games,0.19,0,0,0.02,0.21,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
8741,Dragon Ball Z: Harukanaru Densetsu (JP sales),DS,2007,Role-Playing,Namco Bandai Games,0,0,0.15,0,0.15,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
6728,Dynasty Warriors 6,PS2,2008,Action,Tecmo Koei,0.12,0.09,0,0.03,0.25,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
6661,Dynasty Warriors 6 (JP sales),PS2,2008,Action,Tecmo Koei,0,0,0.25,0,0.25,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
13254,Dynasty Warriors Vol. 2,PSP,2006,Action,Tecmo Koei,0.04,0,0,0,0.05,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
13900,Dynasty Warriors Vol. 2 (JP sales),PSP,2006,Action,Tecmo Koei,0,0,0.04,0,0.04,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
7504,Enchanted Arms,PS3,2007,Role-Playing,Ubisoft,0.17,0.01,0,0.02,0.2,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
14011,Enchanted Arms (JP sales),PS3,2007,Role-Playing,Ubisoft,0,0,0.04,0,0.04,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
7766,Enchanted Arms,X360,2006,Role-Playing,Ubisoft,0.16,0.02,0,0.02,0.19,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
15100,Enchanted Arms (JP sales),X360,2006,Role-Playing,Ubisoft,0,0,0.02,0,0.02,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
9139,Eternal Poison,PS2,2008,Role-Playing,Banpresto,0.07,0.05,0,0.02,0.14,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
9456,Eternal Poison (JP sales),PS2,2008,Role-Playing,Banpresto,0,0,0.13,0,0.13,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
13991,Fatal Fury: Battle Archives Volume 1,PS2,2006,Fighting,Ignition Entertainment,0.02,0.01,0,0,0.04,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
